village_code,village_name,latitude,longitude,population,vulnerable_population,road_access,hospital_distance,shelter_capacity,available_water,food_stock,medical_capacity,rainfall,river_level,flood_history,building_damage,water_level,hazard_score,safe_capacity,capacity_ratio,relocation_score,risk_level,capacity_status,relocation_priority
160730,Kamalapur,25.629612,81.62237,2239,735,2,30.0,3780,20000,20000,1,149.816,9.5564,2,4,5.9685,70.2157,4513.5,0.4961,46.0907,HIGH,SAFE,MEDIUM
160730,Kamalapur,25.629612,81.62237,2239,735,2,30.0,3780,20000,20000,1,183.6996,4.0034,2,5,0.5641,65.8461,4513.5,0.4961,44.7182,HIGH,SAFE,MEDIUM
160730,Kamalapur,25.629612,81.62237,2239,735,2,30.0,3780,20000,20000,1,0.3115,9.9299,0,3,6.1165,40.8087,4513.5,0.4961,35.5477,LOW,SAFE,MEDIUM
160730,Kamalapur,25.629612,81.62237,2239,735,2,30.0,3780,20000,20000,1,18.6663,9.7638,5,5,7.8518,83.6149,4513.5,0.4961,49.0194,CRITICAL,SAFE,MEDIUM
160730,Kamalapur,25.629612,81.62237,2239,735,2,30.0,3780,20000,20000,1,236.9658,1.4181,2,4,4.505,54.5721,4513.5,0.4961,43.1981,MEDIUM,SAFE,MEDIUM
160731,Daharpurjapti urf Bandhpur,25.627023,81.627977,950,374,2,30.0,1580,20000,5000,0,6.3865,3.078,3,3,1.2204,43.5945,2132.0,0.4456,34.0875,LOW,SAFE,MEDIUM
160731,Daharpurjapti urf Bandhpur,25.627023,81.627977,950,374,2,30.0,1580,20000,5000,0,363.7282,3.329,3,1,4.2516,67.3549,2132.0,0.4456,38.1858,HIGH,SAFE,MEDIUM
160731,Daharpurjapti urf Bandhpur,25.627023,81.627977,950,374,2,30.0,1580,20000,5000,0,12.5253,8.5806,3,1,3.9515,50.6165,2132.0,0.4456,36.5682,LOW,SAFE,MEDIUM
160731,Daharpurjapti urf Bandhpur,25.627023,81.627977,950,374,2,30.0,1580,20000,5000,0,130.6163,6.134,3,0,9.6117,56.4424,2132.0,0.4456,40.3186,MEDIUM,SAFE,MEDIUM
160731,Daharpurjapti urf Bandhpur,25.627023,81.627977,950,374,2,30.0,1580,20000,5000,0,215.8769,6.2808,0,3,6.0703,56.8842,2132.0,0.4456,37.4888,MEDIUM,SAFE,MEDIUM
160733,Madhapur,25.621942,81.640146,6,0,2,30.0,100,20000,20000,0,66.1068,1.1407,0,0,1.9872,16.3506,3040.0,0.002,12.8506,LOW,SAFE,LOW
160733,Madhapur,25.621942,81.640146,6,0,2,30.0,100,20000,20000,0,308.5081,1.6664,1,0,9.1496,41.9477,3040.0,0.002,25.5805,LOW,SAFE,LOW
160733,Madhapur,25.621942,81.640146,6,0,2,30.0,100,20000,20000,0,38.164,4.3374,5,4,7.2961,65.1723,3040.0,0.002,35.8023,HIGH,SAFE,MEDIUM
160733,Madhapur,25.621942,81.640146,6,0,2,30.0,100,20000,20000,0,188.886,2.0763,5,2,7.6079,64.9087,3040.0,0.002,33.8997,HIGH,SAFE,MEDIUM
160733,Madhapur,25.621942,81.640146,6,0,2,30.0,100,20000,20000,0,197.5182,5.7046,1,1,4.3934,43.2184,3040.0,0.002,22.0652,LOW,SAFE,LOW
160734,Andiyari,25.615682,81.648521,3036,1477,2,23.0,5070,30000,20000,0,190.1481,6.0695,3,5,1.3933,80.3141,5528.0,0.5492,59.4251,CRITICAL,SAFE,MEDIUM
160734,Andiyari,25.615682,81.648521,3036,1477,2,23.0,5070,30000,20000,0,81.2245,9.4857,2,2,1.6122,60.3669,5528.0,0.5492,42.6255,MEDIUM,SAFE,MEDIUM
160734,Andiyari,25.615682,81.648521,3036,1477,2,23.0,5070,30000,20000,0,321.4688,2.6791,5,5,5.3934,89.0835,5528.0,0.5492,56.0883,CRITICAL,SAFE,MEDIUM
160734,Andiyari,25.615682,81.648521,3036,1477,2,23.0,5070,30000,20000,0,91.1741,4.844,3,4,8.6073,69.1837,5528.0,0.5492,48.211,HIGH,SAFE,MEDIUM
160734,Andiyari,25.615682,81.648521,3036,1477,2,23.0,5070,30000,20000,0,166.9644,2.999,2,1,3.3762,46.2812,5528.0,0.5492,36.6581,LOW,SAFE,MEDIUM
160738,Chak Motiram Ojha,25.624715,81.621436,665,295,2,40.0,1010,20000,5000,0,207.5162,7.3272,0,5,9.7178,70.133,1904.0,0.3493,49.5499,HIGH,SAFE,MEDIUM
160738,Chak Motiram Ojha,25.624715,81.621436,665,295,2,40.0,1010,20000,5000,0,113.9362,1.332,0,1,5.0268,33.3387,1904.0,0.3493,30.6436,LOW,SAFE,MEDIUM
160738,Chak Motiram Ojha,25.624715,81.621436,665,295,2,40.0,1010,20000,5000,0,57.9579,5.4051,5,3,0.8085,58.5502,1904.0,0.3493,38.7643,MEDIUM,SAFE,MEDIUM
160738,Chak Motiram Ojha,25.624715,81.621436,665,295,2,40.0,1010,20000,5000,0,321.2559,5.2327,1,5,3.9882,82.4697,1904.0,0.3493,54.7622,CRITICAL,SAFE,MEDIUM
160738,Chak Motiram Ojha,25.624715,81.621436,665,295,2,40.0,1010,20000,5000,0,60.287,5.5738,4,2,5.9089,54.2476,1904.0,0.3493,39.5287,MEDIUM,SAFE,MEDIUM
160739,Piyri Urf Bijalipur,25.617771,81.616172,4119,1645,2,31.0,6310,20000,20000,0,258.0691,2.5693,0,1,8.3771,53.6351,5524.0,0.7457,43.7153,MEDIUM,SAFE,MEDIUM
160739,Piyri Urf Bijalipur,25.617771,81.616172,4119,1645,2,31.0,6310,20000,20000,0,83.6286,5.873,1,2,2.2855,38.549,5524.0,0.7457,34.895,LOW,SAFE,MEDIUM
160739,Piyri Urf Bijalipur,25.617771,81.616172,4119,1645,2,31.0,6310,20000,20000,0,398.5015,9.6888,4,4,8.8264,100.0,5524.0,0.7457,60.2138,CRITICAL,SAFE,HIGH
160739,Piyri Urf Bijalipur,25.617771,81.616172,4119,1645,2,31.0,6310,20000,20000,0,280.1431,8.62,3,5,7.7988,91.4167,5524.0,0.7457,60.7602,CRITICAL,SAFE,HIGH
160739,Piyri Urf Bijalipur,25.617771,81.616172,4119,1645,2,31.0,6310,20000,20000,0,64.6515,9.087,3,5,0.092,72.3745,5524.0,0.7457,48.3768,HIGH,SAFE,MEDIUM
160740,Chak Ragubir Pathak,25.621822,81.623963,254,194,2,28.0,410,20000,5000,0,2.0246,2.4473,1,1,6.919,34.2757,1664.0,0.1526,34.1928,LOW,SAFE,MEDIUM
160740,Chak Ragubir Pathak,25.621822,81.623963,254,194,2,28.0,410,20000,5000,0,284.8717,3.1352,4,3,3.6647,83.8451,1664.0,0.1526,56.1126,CRITICAL,SAFE,MEDIUM
160740,Chak Ragubir Pathak,25.621822,81.623963,254,194,2,28.0,410,20000,5000,0,123.2243,5.8829,2,2,6.3633,65.6049,1664.0,0.1526,41.121,HIGH,SAFE,MEDIUM
160740,Chak Ragubir Pathak,25.621822,81.623963,254,194,2,28.0,410,20000,5000,0,391.5571,5.3807,2,2,7.9481,95.0895,1664.0,0.1526,58.0873,CRITICAL,SAFE,MEDIUM
160740,Chak Ragubir Pathak,25.621822,81.623963,254,194,2,28.0,410,20000,5000,0,197.0071,2.7572,4,2,5.72,70.0392,1664.0,0.1526,47.8006,HIGH,SAFE,MEDIUM
