village_code,village_name,population,households,children_0_6,sc_population,st_population,area_hectares,population_density,children_ratio,sc_ratio,st_ratio,chc,phc,sub_health_centre,allopathic_hospital,dispensary,treated_tap_water,hand_pump,tube_well,river_canal,pond_lake,closed_drainage,no_drainage,national_highway,state_highway,major_district_road,black_topped_road,all_weather_road,footpath,mobile_coverage,internet_csc,pds_shop,anganwadi,asha,subdistrict_hq_distance_km,district_hq_distance_km,nearest_town_distance_km
160730,Kamalapur,2239,378,311,424,0,91.77,24.39795140023973,0.13890129522108083,0.18937025457793658,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,30.0,35.0,35.0
160731,Daharpurjapti urf Bandhpur,950,158,154,220,0,39.52,24.038461538461537,0.16210526315789472,0.23157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,39.0,30.0
160732,Daherpur Singrour,0,0,0,0,0,33.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,30.0
160733,Madhapur,6,2,0,0,0,27.68,0.21676300578034682,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,30.0,38.0,30.0
160734,Andiyari,3036,507,453,1024,0,217.55,13.955412548839346,0.1492094861660079,0.3372859025032938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,23.0,36.0,36.0
160735,Chaksah Hamid Taluka Sigraur,0,0,0,0,0,8.51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,37.0,37.0
160736,Araji Chak Raghubir Pathak,0,0,0,0,0,4.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,38.0,38.0
160737,Bhikhampur,0,0,0,0,0,4.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,38.0,38.0
160738,Chak Motiram Ojha,665,101,91,204,0,30.5,21.80327868852459,0.1368421052631579,0.3067669172932331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,42.0,42.0
160739,Piyri Urf Bijalipur,4119,631,560,1084,1,224.48,18.349073414112617,0.13595532896334062,0.2631706724933236,0.00024277737314882253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,31.0,36.0,36.0
