people_trapped,injured_people,critical_injuries,children_elderly,water_level,building_damage,hours_trapped,communication_available,severity_score,severity
5,1,0,8,6.41042001456385,3,7.454682981888466,0,100.0,CRITICAL
17,11,7,6,4.116550455822729,3,9.197348220051483,0,100.0,CRITICAL
5,1,1,6,4.857716204532778,5,11.654727404404234,0,100.0,CRITICAL
14,6,1,0,6.981905763977807,4,11.951799598643586,1,100.0,CRITICAL
14,12,3,1,7.307552193639375,5,18.008997714775038,0,100.0,CRITICAL
9,5,4,9,8.047061157505148,0,19.610849612674315,1,100.0,CRITICAL
8,6,5,4,2.6365671144463865,5,23.784860068630657,0,100.0,CRITICAL
11,2,1,2,8.57858109057547,0,19.301489271671382,1,100.0,CRITICAL
18,2,2,7,8.305981498595132,2,7.194754056302097,1,100.0,CRITICAL
9,0,0,3,8.55084534364593,5,8.595615508012857,0,100.0,CRITICAL
2,1,0,6,0.8082862019686854,5,14.833387723320289,1,100.0,CRITICAL
2,1,1,4,1.4361947386470209,3,16.479311612168306,1,100.0,CRITICAL
6,2,0,5,6.247613993802011,3,2.159086604162056,1,100.0,CRITICAL
6,1,0,6,9.529949936684794,5,8.248277858028768,1,100.0,CRITICAL
11,1,0,7,1.0991872622553656,1,4.8640017514959775,1,100.0,CRITICAL
10,6,2,2,7.388546133600419,1,12.188388292485556,0,100.0,CRITICAL
13,12,0,2,1.3611562893756912,1,4.048743512331454,0,100.0,CRITICAL
19,13,13,1,9.504672596362653,5,13.937794547310428,0,100.0,CRITICAL
2,0,0,5,8.001159955290442,5,11.215115982808143,0,100.0,CRITICAL
14,8,6,1,2.88366056626852,2,9.694171132303314,0,100.0,CRITICAL
1,1,0,0,0.47598370809305846,3,15.57486925844412,0,88.47387314120135,CRITICAL
12,1,1,0,4.366462251310922,1,9.991719817678446,0,100.0,CRITICAL
18,14,12,8,5.2507279523423716,5,9.582356873296689,1,100.0,CRITICAL
16,3,3,0,5.270734938079544,1,15.626922394179541,1,100.0,CRITICAL
5,1,0,6,8.519002857293334,3,1.374870818790435,0,100.0,CRITICAL
19,14,7,4,9.80900047940369,1,10.379576912885788,0,100.0,CRITICAL
14,12,1,5,4.3191805465585,4,4.6896125742155625,1,100.0,CRITICAL
11,9,2,9,1.6379436146991733,4,0.9257505267549506,1,100.0,CRITICAL
17,14,3,8,3.7696938514596368,0,0.8323852898075748,0,100.0,CRITICAL
15,5,1,2,7.12129301679043,3,4.022896329352113,0,100.0,CRITICAL
16,9,3,5,5.836680789838569,4,10.414587463128292,1,100.0,CRITICAL
14,9,5,6,0.8678941332769852,3,13.600764160774924,0,100.0,CRITICAL
17,2,2,1,2.0994287742418383,2,19.10158286771833,0,100.0,CRITICAL
4,4,4,5,6.935246549872146,3,14.584613078109303,1,100.0,CRITICAL
14,1,0,5,6.980761060301379,0,12.481335831281948,1,100.0,CRITICAL
4,1,1,4,6.090237964785313,0,0.8727982536649792,1,69.92165297297908,HIGH
3,2,2,6,2.940369466666751,2,7.149591020791587,0,100.0,CRITICAL
4,3,1,8,1.6325515514967803,3,16.614499514669433,1,100.0,CRITICAL
6,6,0,6,2.2881564556753284,5,6.492347630774997,1,100.0,CRITICAL
4,4,4,1,8.075567370416568,3,14.264156760344727,1,100.0,CRITICAL
7,4,0,3,4.8856625040158335,4,14.493625892407804,0,100.0,CRITICAL
7,7,6,0,3.512005375742712,4,7.323067364872144,0,100.0,CRITICAL
18,11,10,1,1.3591111673060818,0,13.71827417121412,1,100.0,CRITICAL
12,0,0,8,3.925766980759502,3,2.735363692894458,0,100.0,CRITICAL
16,13,1,6,4.177954375037077,1,17.447311371780998,0,100.0,CRITICAL
6,5,5,7,8.860289523165497,4,0.5406644692237359,1,100.0,CRITICAL
5,2,1,7,9.401137373299498,3,0.847799667799606,1,100.0,CRITICAL
10,9,6,1,8.394478168194807,2,20.886200982817062,0,100.0,CRITICAL
17,9,3,4,3.8817754134020435,4,13.926892760000364,1,100.0,CRITICAL
3,0,0,0,5.591729149545808,0,3.9099394299108328,1,34.86348811224026,MEDIUM
9,1,0,8,8.411822214858699,0,14.439316332702681,1,100.0,CRITICAL
10,0,0,4,0.5045311262505325,0,8.876350261989238,1,53.9602800400815,HIGH
10,2,0,0,5.328325066918068,0,6.476827946443978,1,77.17608513996203,CRITICAL
6,0,0,6,3.9863195614161895,3,19.471792965442532,1,100.0,CRITICAL
4,1,0,8,3.810325241812315,5,11.455406302670312,0,100.0,CRITICAL
11,4,3,0,3.5009012248461477,3,7.043354352034287,1,100.0,CRITICAL
9,9,8,0,6.4046380162613294,4,22.648668497213635,0,100.0,CRITICAL
12,5,3,0,4.173258099047934,1,3.960605128951543,1,100.0,CRITICAL
10,0,0,6,3.221682388109741,0,3.4081840220781014,0,81.4059438362971,CRITICAL
6,5,0,9,5.66300376317086,1,2.3352926494673127,0,100.0,CRITICAL
13,0,0,2,3.7313053374235228,0,2.9864239431008555,1,62.38172517355355,HIGH
5,3,2,8,0.34692184984777663,4,6.066844453042847,1,100.0,CRITICAL
4,3,3,8,4.176303001663589,2,16.764099304554215,1,100.0,CRITICAL
3,3,2,6,1.9608966655108584,0,16.124587520751035,1,100.0,CRITICAL
5,1,1,2,0.9991366518359457,2,18.323080564276452,1,100.0,CRITICAL
18,7,2,9,8.725983829574886,5,13.813704131695019,0,100.0,CRITICAL
3,3,0,7,6.918242388671466,0,11.822658302532144,0,100.0,CRITICAL
5,4,3,5,3.808884563237452,1,10.36521632148205,1,100.0,CRITICAL
9,2,1,3,9.852737054142118,5,20.991442972495637,1,100.0,CRITICAL
6,3,2,7,3.6719580754494716,0,8.244120218719129,0,100.0,CRITICAL
15,7,0,2,2.444589777702151,1,21.39652296147647,0,100.0,CRITICAL
18,4,3,0,4.735075250300854,2,6.612952563482428,1,100.0,CRITICAL
8,4,4,3,9.455624586211774,3,3.7756640964054684,0,100.0,CRITICAL
12,7,1,8,6.639849439544719,5,6.123421171636051,0,100.0,CRITICAL
6,4,3,6,7.305931415886754,2,11.976625316562902,0,100.0,CRITICAL
8,5,0,0,1.652919762185563,3,22.221304438585054,1,100.0,CRITICAL
15,13,5,0,0.4014600973807325,4,4.255430585080273,0,100.0,CRITICAL
16,9,6,0,5.371289176449957,4,13.917639869372657,1,100.0,CRITICAL
5,0,0,5,3.303283376026498,4,5.22530782786464,1,100.0,CRITICAL
11,9,2,9,0.42657906720581784,5,16.263484004214572,1,100.0,CRITICAL
17,17,7,9,8.961562423126118,4,11.160840984274222,1,100.0,CRITICAL
13,0,0,8,0.2510267584954251,0,17.604905323498862,1,100.0,CRITICAL
16,3,3,2,0.1265495852029952,5,20.546611429209484,1,100.0,CRITICAL
18,12,7,2,2.9916917000958265,2,8.03385121462304,1,100.0,CRITICAL
13,13,10,6,4.972541800821906,1,22.51653016890989,1,100.0,CRITICAL
3,1,1,5,4.507959075811007,0,11.242132918194889,0,85.98348353385241,CRITICAL
3,1,0,8,3.599776654864024,5,22.479223105035146,0,100.0,CRITICAL
6,5,4,2,8.637782567577894,5,5.534945128521505,1,100.0,CRITICAL
15,0,0,6,2.975853353222991,0,21.53005813323952,1,100.0,CRITICAL
19,0,0,6,6.527897507983714,4,8.007758274872435,0,100.0,CRITICAL
3,2,0,8,3.9860792044162583,5,18.01801838653506,1,100.0,CRITICAL
3,0,0,5,3.886747302935323,0,23.23638494586102,1,96.5999620589102,CRITICAL
3,1,0,8,9.32809098493943,1,21.891886756772585,0,100.0,CRITICAL
18,11,4,5,6.974472801239912,2,11.127713404758717,1,100.0,CRITICAL
8,0,0,1,5.382062486372204,4,8.277628511648771,0,100.0,CRITICAL
16,8,7,5,1.7462098096383538,4,14.703278462613554,1,100.0,CRITICAL
3,2,0,4,1.3759249582511979,1,16.939424297334334,1,72.52894160660966,HIGH
11,0,0,5,1.9364766461129956,0,12.965920947585378,0,100.0,CRITICAL
16,12,10,8,6.269365664954317,1,20.36342052848083,1,100.0,CRITICAL
2,1,1,5,0.5601867749477585,3,1.3984100255067693,0,100.0,CRITICAL
1,0,0,4,4.640993423919349,2,14.391301855026816,1,85.48723093810386,CRITICAL
8,3,3,4,4.597496265170642,2,12.605829038343622,1,100.0,CRITICAL
12,8,3,2,9.178048836993431,1,0.9447345461967478,0,100.0,CRITICAL
19,17,10,4,3.6992286837399724,5,0.30506797434470734,0,100.0,CRITICAL
18,18,15,4,8.965946635824123,5,14.547113520066581,1,100.0,CRITICAL
18,3,3,9,6.1508164373230745,2,2.8319715714689213,0,100.0,CRITICAL
11,11,6,2,3.9009804423274943,2,18.444755563771423,1,100.0,CRITICAL
18,17,5,6,5.265824322520069,5,22.781973211901384,1,100.0,CRITICAL
6,1,0,7,0.9422402652102935,0,4.257989883728926,0,66.96200298811995,HIGH
1,1,1,6,8.896195839528449,4,19.16578157822049,1,100.0,CRITICAL
9,5,1,1,6.314971682257399,4,14.194050582216315,0,100.0,CRITICAL
16,10,2,6,4.3561121595654075,4,10.750554619477898,0,100.0,CRITICAL
5,1,1,0,7.757378713126748,1,15.60715937909006,1,100.0,CRITICAL
19,4,1,2,4.044912351341415,1,19.256115338002356,1,100.0,CRITICAL
17,15,3,9,4.609859077823657,4,23.295486410600915,0,100.0,CRITICAL
8,4,0,3,4.220249970442956,3,15.85183813642104,1,100.0,CRITICAL
19,8,5,5,9.965518238014319,3,17.92632411984724,1,100.0,CRITICAL
18,10,9,8,7.701814443885253,0,14.580456380388885,1,100.0,CRITICAL
12,12,2,8,9.287896048629495,1,13.56108544358744,1,100.0,CRITICAL
16,14,11,5,3.79646537960614,4,1.554765466466777,1,100.0,CRITICAL
14,8,3,8,4.901687191028684,3,3.721782102713253,0,100.0,CRITICAL
4,0,0,5,2.0135774669434223,4,9.102067914233388,1,89.45654678317413,CRITICAL
8,1,0,6,0.10132470411118533,2,15.588085730304199,1,100.0,CRITICAL
12,4,3,5,1.947756126610024,3,1.8190609969404168,0,100.0,CRITICAL
11,9,5,2,9.28926261375165,4,13.065054433148244,1,100.0,CRITICAL
13,13,12,0,4.563718285243851,1,0.3163799397448388,1,100.0,CRITICAL
8,6,3,3,1.3084567440421957,1,18.386242879080516,1,100.0,CRITICAL
18,15,11,0,4.525729706791154,2,16.006401155066968,1,100.0,CRITICAL
13,8,4,9,7.927361443890442,2,12.496206762890527,0,100.0,CRITICAL
4,2,1,0,5.007955755922623,0,13.707423550121096,0,100.0,CRITICAL
1,0,0,4,9.36824352486973,4,22.38622320084383,0,100.0,CRITICAL
10,10,0,7,8.983616762113597,3,21.76071747955611,0,100.0,CRITICAL
6,4,2,0,4.732491753633546,3,19.02603370081118,1,100.0,CRITICAL
11,11,9,4,0.8295795576839815,5,8.069432424159103,1,100.0,CRITICAL
7,5,5,7,7.044469678677029,5,2.5739248798863734,0,100.0,CRITICAL
10,9,3,2,3.563790634334648,3,7.714358460638058,0,100.0,CRITICAL
12,6,1,5,7.85728059207456,0,18.047094076087376,0,100.0,CRITICAL
6,3,0,6,3.0886818905486746,4,14.664017759860556,1,100.0,CRITICAL
6,6,3,9,3.3062256787020528,2,16.933720757925535,1,100.0,CRITICAL
4,3,0,7,5.423205654980151,0,2.5279073982720863,0,91.74685271583462,CRITICAL
2,0,0,2,0.24897799964953116,2,3.8027253230189846,0,64.89184072923626,HIGH
7,7,4,0,1.6965666299129045,0,15.943674657315306,0,100.0,CRITICAL
7,1,1,9,8.514143047331373,0,8.923213186904619,1,100.0,CRITICAL
2,0,0,7,9.565725172950833,3,8.86050842074843,1,100.0,CRITICAL
10,0,0,3,1.9208658596051364,0,9.423827200242282,0,75.05127182822689,CRITICAL
14,8,4,1,7.72466890707746,3,19.102557100764617,1,100.0,CRITICAL
5,4,0,0,1.1186255452454497,5,16.7772957736155,1,100.0,CRITICAL
8,2,2,5,4.726907811972283,3,2.544857255528515,0,100.0,CRITICAL
18,8,2,0,5.084681496558192,3,8.264575608682021,0,100.0,CRITICAL
5,1,0,5,5.637274481059165,1,16.171970910009456,0,100.0,CRITICAL
4,2,2,7,3.6143903436561233,5,23.4271008020111,1,100.0,CRITICAL
19,9,0,2,8.561183548188199,3,21.894077537544433,0,100.0,CRITICAL
11,11,7,5,3.0345702908940178,5,5.958561640137077,0,100.0,CRITICAL
5,5,2,5,4.852284856702195,4,1.584791539565379,1,100.0,CRITICAL
16,16,12,4,1.9383566135185049,4,13.758321490758593,1,100.0,CRITICAL
9,6,4,2,5.72850511877117,0,9.75000793078266,0,100.0,CRITICAL
6,4,1,5,1.971715413870505,2,4.401361395686568,1,100.0,CRITICAL
8,3,1,0,2.4150466792583805,4,15.639532848464928,1,100.0,CRITICAL
1,1,0,3,4.373618574791731,5,3.8484224376177476,1,94.62458738320414,CRITICAL
1,0,0,7,2.7776011217388885,2,8.43555419185023,1,70.58854795575004,HIGH
5,3,0,5,0.40129553773105675,3,19.069623897760707,0,100.0,CRITICAL
18,4,1,3,7.964317985012745,2,16.423179112191864,1,100.0,CRITICAL
4,0,0,5,8.201401786080039,3,14.570941068328791,1,100.0,CRITICAL
16,9,0,0,9.007139096850189,1,22.339842266793266,1,100.0,CRITICAL
19,6,5,2,9.798868692874079,5,3.009794008989515,1,100.0,CRITICAL
7,2,2,6,1.1324278661272802,0,16.583106005690205,1,100.0,CRITICAL
15,11,8,0,2.745048827350749,2,2.8158670517555935,1,100.0,CRITICAL
